% selection
@RELATION myRel

@ATTRIBUTE IMPACT_TYPE NUMERIC
@ATTRIBUTE ENVIRONMENT NUMERIC
@ATTRIBUTE LIGHT NUMERIC
@ATTRIBUTE ROAD_SURFACE_CONDITION NUMERIC
@ATTRIBUTE NO_OF_PEDESTRIANS NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE Y NUMERIC
@ATTRIBUTE class REAL

@DATA
7.0,1.0,7.0,1.0,1.0,0.5666217038534729,0.4843568809811387,0.0
7.0,2.0,1.0,2.0,1.0,0.610893945054416,0.8205761996580634,0.0
2.0,1.0,1.0,1.0,0.0,0.8018811247676371,0.9320727692285544,0.0
3.0,1.0,1.0,1.0,0.0,0.9840146179574552,0.7709149564926321,0.0
2.0,1.0,1.0,1.0,0.0,0.7775190536413499,0.8709922692350318,0.0
5.0,1.0,1.0,1.0,0.0,0.24614868297094805,0.8768759954769223,0.0
2.0,1.0,1.0,1.0,0.0,0.5879484813077989,0.7609743031934784,0.0
7.0,1.0,5.0,1.0,0.0,0.771947411044489,0.4754497749000137,0.0
3.0,1.0,1.0,1.0,0.0,0.6784808074531501,0.7583039489001635,0.0
3.0,1.0,1.0,1.0,0.0,0.6718040560406262,0.7040329041033999,0.0
3.0,1.0,1.0,1.0,0.0,0.4454044878151517,0.544359379052878,0.0
7.0,1.0,1.0,1.0,1.0,0.6370084258218416,0.8490872550713817,0.0
7.0,1.0,1.0,1.0,0.0,0.810911226042375,0.9411740237531064,0.0
7.0,1.0,5.0,1.0,1.0,0.6703019133696664,0.7207395600157298,0.0
3.0,1.0,1.0,1.0,0.0,0.6736691375802994,0.5090659749694453,0.0
5.0,1.0,1.0,1.0,0.0,0.621689922417823,0.8431719866894127,0.0
3.0,1.0,1.0,1.0,0.0,0.5079138299844326,0.6913523723771675,0.0
3.0,1.0,1.0,1.0,0.0,0.6033463252466342,0.7239918339370632,0.0
3.0,1.0,1.0,1.0,0.0,0.7649968204221107,0.8760879348209301,0.0
3.0,1.0,1.0,1.0,0.0,0.5575371220781601,0.5321979126693179,0.0
2.0,1.0,1.0,1.0,0.0,0.7573025909807205,0.882213155572785,0.0
5.0,1.0,1.0,1.0,0.0,0.6020628038706741,0.7947196288988323,0.0
3.0,1.0,1.0,1.0,0.0,0.49507749878606605,0.5222110468492929,0.0
3.0,1.0,1.0,1.0,0.0,0.6278304342667242,0.8298899857795874,0.0
3.0,1.0,1.0,1.0,0.0,0.664021288042357,0.8185762801233807,0.0
3.0,1.0,1.0,1.0,0.0,0.41500450192013627,0.5699503551357452,0.0
5.0,1.0,7.0,1.0,0.0,0.6328306832482822,0.7286493594834553,0.0
3.0,1.0,1.0,1.0,0.0,0.5659231783484682,0.6983564852915265,0.0
7.0,1.0,3.0,1.0,0.0,0.9930431359953946,0.7776390343446025,0.0
3.0,2.0,1.0,2.0,0.0,0.6066173996890232,0.8247737192334483,0.0
2.0,2.0,1.0,2.0,0.0,0.760997272401073,0.6636001682838923,0.0
3.0,2.0,1.0,2.0,0.0,0.5897181767020925,0.7210226507229294,0.0
3.0,2.0,1.0,2.0,0.0,0.4038313389394288,0.5853707652890421,0.0
7.0,2.0,1.0,2.0,1.0,0.5630146055679424,0.5323418893962071,0.0
2.0,2.0,1.0,2.0,0.0,0.6279659147820711,0.7239088551091868,0.0
5.0,2.0,1.0,2.0,0.0,0.40189784822751307,0.6485418191853682,0.0
5.0,1.0,1.0,1.0,0.0,0.5983953996308875,0.8347501038631719,0.0
7.0,1.0,1.0,1.0,1.0,0.6309291896448448,0.8323208169466909,0.0
7.0,6.0,7.0,1.0,0.0,0.7498424590038164,0.6160770222261647,0.0
2.0,1.0,7.0,1.0,0.0,0.7901353256464354,0.4529579290771295,0.0
3.0,1.0,7.0,1.0,0.0,0.4009483719465212,0.6036217046657129,0.0
5.0,1.0,7.0,1.0,0.0,0.7065890169826865,0.7608601929304513,0.0
3.0,1.0,1.0,1.0,0.0,0.6131488507058922,0.5378342631063617,0.0
3.0,1.0,1.0,1.0,0.0,0.6057296898952567,0.6879231831920265,0.0
2.0,1.0,1.0,1.0,0.0,0.407948652854901,0.6025057043220983,0.0
3.0,1.0,1.0,1.0,0.0,0.4351810262710094,0.539268214793239,0.0
5.0,1.0,1.0,1.0,0.0,0.5974964499280215,0.7929196898178787,0.0
3.0,1.0,1.0,1.0,0.0,0.654424708453317,0.6888527399170385,0.0
7.0,1.0,1.0,1.0,0.0,0.5413339848152221,0.4399824947693816,0.0
7.0,1.0,1.0,1.0,0.0,0.633502940603246,0.7867632062053218,0.0
1.0,1.0,1.0,1.0,0.0,0.5776843357005239,0.6418392951291025,0.0
2.0,1.0,1.0,1.0,0.0,0.2925667556487834,0.3247632134008569,0.0
2.0,1.0,1.0,1.0,0.0,0.5695039477276921,0.5507580800161236,0.0
2.0,1.0,1.0,1.0,0.0,0.5661462205552503,0.7417514716256477,0.0
2.0,1.0,1.0,1.0,0.0,0.3973316860840512,0.4968314523895572,0.0
7.0,1.0,1.0,1.0,2.0,0.5506472257736181,0.687685976441756,0.0
3.0,1.0,1.0,1.0,0.0,0.4150044911984425,0.5699457880967174,0.0
5.0,1.0,1.0,1.0,0.0,0.5890099337685228,0.5335650837314887,0.0
5.0,1.0,7.0,1.0,0.0,0.5547037786584923,0.5295640618318629,0.0
7.0,1.0,3.0,1.0,0.0,0.5599500535846431,0.3139259747700009,0.0
6.0,1.0,1.0,1.0,0.0,0.3915851142861096,0.4829243421192615,0.0
6.0,1.0,1.0,1.0,0.0,0.7897077587895254,0.9063214375054399,0.0
3.0,1.0,1.0,1.0,0.0,0.5555849029496089,0.526574162660097,0.0
3.0,1.0,1.0,1.0,0.0,0.602144792663883,0.7887655735414967,0.0
5.0,1.0,1.0,1.0,0.0,0.6102609672206842,0.8115441407033046,0.0
7.0,1.0,1.0,1.0,1.0,0.6119517175915359,0.8129519058426382,0.0
7.0,1.0,1.0,1.0,1.0,0.6392803932622018,0.7196389528936038,0.0
7.0,1.0,7.0,1.0,0.0,0.6027580521112448,0.5729374943702652,0.0
7.0,1.0,1.0,1.0,0.0,0.8635668395162561,0.9868112291135559,0.0
6.0,1.0,1.0,1.0,0.0,0.6845453608660073,0.6180604971346781,0.0
2.0,1.0,1.0,1.0,0.0,0.621710938129155,0.8465005531620591,0.0
5.0,1.0,1.0,1.0,0.0,0.6525328774786772,0.8470303625461781,0.0
7.0,1.0,1.0,1.0,0.0,0.6339392754231614,0.7032379107478732,0.0
3.0,1.0,1.0,1.0,0.0,0.653693853467324,0.7673947222344141,0.0
5.0,1.0,1.0,1.0,0.0,0.6025254866576857,0.8049855605175367,0.0
3.0,1.0,1.0,1.0,0.0,0.4829078234532531,0.5905893959366466,0.0
3.0,2.0,1.0,2.0,0.0,0.5672907649523555,0.7067254200357524,0.0
2.0,2.0,1.0,2.0,0.0,0.5899315848712607,0.5962636790827531,0.0
3.0,2.0,1.0,2.0,0.0,0.6365195689974357,0.7962255360927628,0.0
4.0,1.0,1.0,1.0,0.0,0.5660513133121983,0.5627028913250598,0.0
3.0,1.0,1.0,1.0,0.0,0.5442458860860526,0.6601065312781601,0.0
3.0,1.0,1.0,1.0,0.0,0.4038300118319844,0.5853711595658098,0.0
2.0,1.0,1.0,1.0,0.0,0.5899365692676231,0.5962621184039705,0.0
5.0,1.0,1.0,1.0,0.0,0.3834443894328894,0.5311134216093762,0.0
5.0,1.0,1.0,1.0,0.0,0.5988137434484493,0.8018434212353043,0.0
4.0,1.0,1.0,1.0,0.0,0.607163491298035,0.8235831348711145,0.0
1.0,1.0,1.0,1.0,0.0,0.7151899276595399,0.2695519006940401,0.0
2.0,1.0,7.0,1.0,0.0,0.5966912054471925,0.6463193961375708,0.0
7.0,1.0,7.0,1.0,0.0,0.6682691933807599,0.8220243453079803,0.0
7.0,1.0,1.0,1.0,1.0,0.5999432941522933,0.8049841312643338,0.0
3.0,1.0,1.0,1.0,0.0,0.6177416348152942,0.746400815929448,0.0
5.0,1.0,1.0,1.0,0.0,0.6247562339502206,0.7655173406282927,0.0
5.0,1.0,1.0,1.0,0.0,0.5355566405645042,0.5093412458544151,0.0
2.0,1.0,1.0,1.0,0.0,0.6313921130743196,0.7186538195749108,0.0
7.0,1.0,1.0,1.0,0.0,0.6186826719318921,0.7449386898830852,0.0
3.0,1.0,1.0,1.0,0.0,0.5812987771550722,0.7142863831480639,0.0
5.0,1.0,1.0,1.0,0.0,0.5664091939239926,0.4204413504379545,0.0
5.0,1.0,1.0,1.0,0.0,0.5932532943000135,0.7972358045543331,0.0
3.0,1.0,1.0,1.0,0.0,0.5980479536098517,0.5279238048350692,0.0
5.0,1.0,1.0,1.0,0.0,0.5630183474391117,0.5323410679863088,0.0
