DATE,TIME,CLASS_OF_ACCIDENT,IMPACT_TYPE,ENVIRONMENT,LIGHT,ROAD_SURFACE_CONDITION,TRAFFIC_CONTROL_CONDITION,NO_OF_PEDESTRIANS,X,Y,Highway,Month,categorical_TRAFFIC_CONTROL_01,categorical_TRAFFIC_CONTROL_02,categorical_TRAFFIC_CONTROL_03,categorical_TRAFFIC_CONTROL_04,categorical_TRAFFIC_CONTROL_07,categorical_TRAFFIC_CONTROL_08,categorical_TRAFFIC_CONTROL_09,categorical_TRAFFIC_CONTROL_11,categorical_ACCIDENT_LOCATION_01,categorical_ACCIDENT_LOCATION_02,categorical_ACCIDENT_LOCATION_03,categorical_ACCIDENT_LOCATION_04,categorical_ACCIDENT_LOCATION_05,categorical_ACCIDENT_LOCATION_06,categorical_ACCIDENT_LOCATION_07,categorical_Seasons_Fall,categorical_Seasons_Spring,categorical_Seasons_Summer,categorical_Seasons_Winter
2018-11-30,17:00:00,03,03,01,07,01,,0,372135.3291,5031462.1,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-30,17:15:00,03,03,01,07,01,,0,367676.4796,5029928.088,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-30,17:35:00,03,03,01,07,01,,0,380657.20200000005,5025772.469,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-30,18:00:00,03,04,01,07,01,,0,359386.2037,5016768.995,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-30,18:30:00,03,03,01,07,01,,0,362522.0035,5025163.873,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-01,13:15:00,03,04,01,01,01,,0,366518.8785,5029515.884,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-01,17:30:00,03,07,01,07,01,,0,360776.0421,5013414.244,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-02,03:00:00,03,03,03,07,04,,0,365686.1352,5029134.143,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-02,04:10:00,03,07,02,07,02,,0,360997.1364,5023974.813999999,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-02,05:50:00,03,07,02,07,02,,0,365234.1558,5028795.002,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-03,06:00:00,03,04,07,07,02,,0,375148.9727,5030559.938,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
